Umfragewerte | anket sonuçları  
Ortsverein | yerel dernek  
Rentenpolitik | emeklilik politikası  
durchgetaktet | sıkı planlanmış  
Der SPD-Vorsitzende | parti başkanı  
Seniorentreffen | yaşlılar toplantısı  
kommunaler Ebene | yerel düzeyde  
Nöte | ihtiyaçlar  
Fußballverein | futbol kulübü  
Gartenanlage | bahçe kompleksi  
Seniorenwohnanlage | yaşlılar için konut kompleksi  
scherzhaft | şaka yollu  
Bürgernähe | halkla yakınlık  
unnahbare | mesafeli  
Wunschkanzlerkandidat | tercih edilen başbakan adayı  
hadern | tereddüt etmek  
erledigt | çözülmüş, kapanmış  
Ampelregierung | koalisyon hükümeti  
Spuren | izler, etkiler  
Engagement | angajman, bağlılık  
Gesellschaft | toplum  
auseinanderdriftet | ayrışıyor, kutuplaşıyor  
Wohlstandes | refah, zenginlik  
Mittelschicht | orta sınıf  
driftet | kayma, uzaklaşma  
Ellbogen | dirsekler (mecazi: rekabet)  
Strecke | geride kalıyor, unutuluyor  
Kleingartenanlage | hobi bahçesi  
Zeche | maden  
Selbstläufer | kendiliğinden kazanılan bir durum değil  
verkacke | berbat edersem  
befürchtet | endişe ediyor  
Fortbestand | süreklilik  
Patronen im Lauf haben | (mecazi) çok fazla fırsatları kalmadı  
Tacheles zu reden | açık konuşmak  
Mund abwischen | takılmadan devam etmek  
