1. Dünya Savaşı | 1914-1918
2. Dünya Savaşı | 1939-1345
Berlin Duvarı (start, end) | 1961-1989
Almanya'nın 2'ye bölünmesi (start, end) | 1949-1990
BRD, DDR kurulduğu tarih | 1949 
Paskalya nedir? ne zaman? | İsa'nın idamı, pazar günü, mart-nisan
Ostersonntag ne zaman? | Paskalya günü
Ostermontag ne zaman? | Paskalya 1 sonraki gün
Pfingsten / Pentecost nedir, ne zaman? | Paskalya 50 gün sonra: Pazar-Pzts
16 eyaleti ve başkentini sayın | Baden-Württemberg, Brandenburg, Mecklenburg-Vorpommern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, (10 tane daha)
Şu anki bundespräsident | Olaf Scholz
Şu anki bundeskanzler | Frank-Walter Steinmeier
ilk şansölye | Konrad Adenauer (CDU)
Nazi süreci | 1933-1945
Nobelli şansölye | Willy Brandt
Hitler'e suikast girişimi yapan kişi | Claus Schenk Graf
Yasama, yürütme, yargı kimler? | Legislative: Bundestag, Bundesrat -- Exekutive: Regierung, Kanzler -- Judikative: Bundesverfassungsgericht
Staatsoberhaupt nedir? | Bundespräsident
Euro Para birimi ne zaman? | 2002
ilk 2 parti, kısaltması ve uzun hali | SPD, CDU / CSU -- Sozialdemokratische Partei Deutschlands / Christlich Demokratische Union / Christlich-Soziale Union
8 Mayıs? | 2. Dünya savaşı
3 Ekim? | Birleşme
Nehir? | Ren, Tuna, Elbe
İlk demokratik Cumhuriyet? | Weimar
Eyalet lideri? | Ministerpräsident
Filozof? | Nietsche, Kant, Schopenhauer
Nobel edebiyat | Heinrich Böll
Müzisyen | Beethoven, Bach, Richard Wagner
Gazete | Bild, Frankfurter Allgemeine Zeitung
Kamu yayın kuruluşu | ARD, ZDF
Matbaa? | Johannes Gutenberg
Yönetim kurulşları? | Stadt: Stadtrat, Bezirk: Bezirksamt, Landkreis: Landrat, Gemeinde: Gemeinde
Belediye başkanı? | Bürgermeister (Gemeinde)
Marşın 3 sözü? | Einigkeit und Recht und Freiheit
Yılbaşı keywordleri | Glühwein, Weihnachtsmarkt, Advent, Gift, Santa, Firework
