betroffen | etkilenmiş, maruz kalmış
Landesbibliothekszentrum | bölgesel kütüphane merkezi
Pausenangebot | mola için sunulan hizmet
Studierende | yükseköğrenim öğrencileri
noch nicht so ganz | henüz tam olarak değil
was auf mich zukommt | beni neyin beklediği
begleitet | eşlik ediyor
Bachelorarbeitsabgabe | lisans tezi teslimi
aktuell | güncel
standhalten | dayanmak, karşı koymak
ausgebildeter | eğitimli
pädagogischer | eğitimle ilgili
Begleithund | rehber köpek
abzubauen | azaltmak, stres gidermek
sogenannte | sözde, denilen
Lernpause | öğrenme molası
zur Ruhe komken | sakinleşmek
ein bisschen kurz kam | biraz ihmal edilmiş
Zeit für sich zu nehmen | kendine zaman ayırmak
sich fokussieren | odaklanmak
konzentriert | dikkatle, odaklanmış
beschäftigen | uğraşmak, meşgul olmak
Studie | bilimsel araştırma
regt | harekete geçiriyor, uyarıyor
Hirnregionen | beyin bölgeleri
Konzentration | konsantrasyon, dikkat
zuständig | sorumlu, görevli
klappt es | işe yarıyor mu
vorhin | az önce
Besitzerin | (kadın) sahibi
Leckerchen | atıştırmalık, ödül maması
Rückmeldung | geri bildirim
saß da | orada oturdu
Stelle | yer, nokta
festhing | sıkışıp kaldı
Knoten | düğüm, sorun
