Scheibe | Cam, pencere camı
Glaser | Camcı
segelt | Süzülmek, havada yavaşça hareket etmek
Absperrung | Bariyer, engelleme, giriş-çıkışın yasak olduğu alan
raussegelt | Dışarı doğru süzülmek (genellikle pencereden bahsedilir)
knallt | Çarpmak, şiddetle yere düşmek
betreten | Girmek, içeri girmek
Bausubstanz | Bina yapısı, yapı malzemeleri
Dreck | Kir, pislik
Bereiche | Bölümler, alanlar
nachgestrichen | Yeniden boyanmış
durchkommt | Geçmek, nüfuz etmek (genellikle su veya nemden bahsedilir)
Surren | Vızıldamak, uğuldamak
Rumpeln | Gürültü yapmak, gümlemek
doller Wind | Şiddetli rüzgar
Risse | Çatlaklar
mittelmäßig | Orta halli, vasat
